Word,Known,Discard
apagar,False,False
costar,True,False
cerveza,True,False
tío,True,False
andar,True,False
mensaje,True,False
dejar él,True,False
idea,True,False
foto,True,False
pueblo,True,False
duda,True,False
nariz,True,False
iglesia,True,False
esconder,True,False
animal,True,False
buen,True,False
imposible,True,False
vestido,True,False
gris,True,False
saludar,True,False
atención,True,False
joven,True,False
delgado,False,False
colchón,True,False
común,True,False
sentido,True,False
vo,False,False
resto,True,False
suerte,True,False
poder,True,False
largo,True,False
pastilla,True,False
hermana,True,False
fiesta,True,False
reir,True,False
decir él,True,False
húmedo,False,False
parrilla,False,False
estudiar,True,False
odiar,True,False
tardar,True,False
cansado,True,False
golpear,True,False
cierto,True,False
espejo,True,False
culpa,True,False
sexo,True,False
arma,True,False
favor,True,False
fresco,True,False
centro,True,False
social,True,False
edad,True,False
sala,False,False
mundo,True,False
labio,False,False
claro,True,False
puesto,True,False
color,True,False
alcohol,True,False
mayoría,True,False
mugre,False,False
corto,True,False
forma,True,False
sangrar,True,False
inodoro,True,False
servir,True,False
ladrón,True,False
droga,True,False
camión,True,False
asiento,True,False
anterior,True,False
pelear,True,False
restaurante,True,False
pagar,True,False
tour,True,False
reír,True,False
lograr,True,False
aceptar,True,False
hecho,True,False
sonreír,True,False
cuarto,True,False
ácido,True,False
dormido,True,False
arder,False,False
escribir,True,False
suegra,False,False
murga,False,False
embarazado,True,False
dar él,True,False
asco,True,False
clase,True,False
terror,True,False
quieto,True,False
whisky,True,False
hambre,True,False
hombro,True,False
sonrisa,True,False
bolsillo,True,False
tranquilo,True,False
santo,False,False
espalda,True,False
servicio,True,False
electricidad,True,False
mandar,False,False
costado,False,False
cubrir,True,False
difícil,True,False
escalera,True,False
colectivo,True,False
chofer,False,False
agradecer,True,False
llenar,True,False
dueña,True,False
pileta,False,False
cargar,True,False
chorizo,True,False
ocultar,True,False
final,True,False
entrada,True,False
pasto,False,False
piel,True,False
caja,False,False
campo,True,False
profesora,True,False
supervisora,True,False
iluminado,True,False
prestar,False,False
vagón,False,False
pasajero,True,False
sacar él,True,False
acomodar,True,False
triste,True,False
notar,True,False
lindo,True,False
vela,False,False
bueno,True,False
plato,True,False
romper,True,False
olvidar,True,False
diferente,True,False
información,True,False
cámara,True,False
mostrar,True,False
madrugada,True,False
televisor,False,False
diario,True,False
arrojar,False,False
tierra,True,False
compañera,False,False
llama,True,False
encerrado,True,False
madera,True,False
abandonar,True,False
risa,True,False
sombra,True,False
flor,True,False
acompañar,True,False
humano,True,False
imaginar,True,False
época,True,False
motor,True,False
beso,True,False
normal,True,False
parado,False,False
insistir,True,False
señora,True,False
papel,True,False
pesadilla,True,False
calavera,False,False
vista,True,False
mayor,True,False
ceremonia,True,False
motivo,True,False
clavo,True,False
dibujo,True,False
militar,True,False
letra,True,False
orilla,False,False
roto,True,False
segundo,True,False
tranquilidad,True,False
rincón,False,False
ayuda,True,False
cambio,True,False
apestar,True,False
contesté,False,False
panza,False,False
caliente,True,False
manera,True,False
doler,True,False
nacer,True,False
lágrima,False,False
silla,True,False
metal,True,False
bruma,True,False
noble,True,False
inquisidor,True,False
tal,True,False
soldado,True,False
alzar,False,False
grupo,True,False
banda,True,False
fruncir,True,False
fruncir el ce\u00f1o,False,False
suponer,True,False
fuerza,True,False
responder,True,False
peltre,False,False
moneda,False,False
empujar,False,False
continuar,True,False
paso,False,False
ejército,True,False
obligador,False,True
estaño,False,False
baile,True,False
nacido,True,False
mantener,True,False
guardia,True,False
capa,False,False
plan,False,False
advertir,False,False
saltar,False,False
sacudir,False,False
suspirar,False,False
modo,False,False
acero,False,False
acabar,False,False
fondo,True,False
criado,True,False
contemplar,True,False
nobleza,False,False
ceniza,True,False
encoger,True,False
emoción,True,False
importante,True,False
guardar,True,False
gran,True,False
criatura,True,False
permanecer,True,False
marchar,False,False
avivar,False,False
negar,True,False
enviar,True,False
par,True,False
rebelión,True,False
descubrir,True,False
miembro,True,False
fortaleza,False,False
regresar,True,False
señor,True,False
palacio,True,False
poderoso,True,False
suficiente,True,False
permitir,True,False
tejado,False,False
apartar,False,False
susurrar,True,False
vacilar,False,False
lanzar,True,False
comprender,True,False
balcón,True,False
cobre,False,False
carruaje,False,False
maese,False,False
preocupar,True,False
considerar,True,False
interior,True,False
brumoso,False,False
significar,True,False
habilidad,True,False
dirigir,True,False
girar,True,False
ignorar,True,False
línea,True,False
rostro,True,False
señalar,False,False
suceder,True,False
muralla,False,False
soltar,False,False
sitio,True,False
desear,True,False
débil,True,False
cuidado,True,False
sorprendido,True,False
bailar,True,False
fuente,True,False
luchar,True,False
guerra,True,False
principal,True,False
corte,True,False
aterrizar,False,False
merecer,True,False
temer,True,False
taller,False,False
avanzar,False,False
planear,True,False
cristal,True,False
realidad,True,False
ceja,False,False
bolsa,True,False
distancia,True,False
instante,True,False
oportunidad,True,False
docena,True,False
vino,True,False
bastón,False,False
torre,True,False
confiar,True,False
figura,True,False
mente,True,False
gesto,True,False
pausa,True,False
niña,True,False
rebelde,True,False
undécimo,False,False
supuesto,True,False
plantación,True,False
movimiento,True,False
observar,True,False
conversación,True,False
cadáver,True,False
muchacho,True,False
reunión,True,False
copa,False,False
dama,False,False
sentir él,True,False
propio,True,False
aspecto,True,False
corriente,True,False
pecho,True,False
aprender,True,False
salón,True,False
convertir,True,False
fortuna,True,False
volver él,True,False
indicar,True,False
oír,True,False
colocar,False,False
éxito,True,False
pregunta,True,False
jefe,True,False
asomar,False,False
poner él,False,False
azul,True,False
daga,False,False
pretender,True,False
través,True,False
alrededor,True,False
cueva,False,False
cuanta,True,False
sencillo,False,False
actuar,True,False
expresión,True,False
planta,False,False
batalla,True,False
oir,True,False
aturdido,True,False
bronce,False,False
volar,True,False
tender,False,True
herida,True,False
ruborizar,False,False
desde,True,False
duro,True,False
aumentar,False,False
muchacha,True,False
reunir,True,False
acuerdo,True,False
cicatriz,False,False
lluvia,True,False
cabo,False,True
cabo de un rato,False,False
canal,True,False
apoyar,False,False
entero,True,False
dispuesto,False,False
pasado,True,False
cielo,True,False
igual,True,False
dirección,True,False
contrato,False,False
barco,True,False
terrible,True,False
crear,True,False
chocar,True,False
rodear,False,False
prelado,False,False
esfuerzo,True,False
sentar él,True,False
caverna,True,False
leyenda,True,False
preocupado,True,False
oculto,True,False
oído,True,False
recorrer,True,False
brillar,False,False
peso,True,False
inclinar,True,False
sonido,True,False
pena,True,False
comentar,False,False
controlar,True,False
contener,False,False
rumor,True,False
manchado,True,False
viajar,True,False
exterior,True,False
traje,True,False
sospechar,True,False
recuperar,True,False
violento,True,False
murmurar,True,False
cuanto,True,False
esperanza,True,False
furia,True,False
hollín,False,False
añadir,False,False
noticia,True,False
asunto,True,False
inmediato,True,False
mueca,False,False
túnica,True,False
conducir,True,False
fino,False,False
prueba,True,False
altura,True,False
pañuelo,False,False
ordenar,True,False
espectro,True,False
instinto,True,False
detener él,True,False
pieza,False,False
maldecir,True,False
chaleco,False,False
producir,True,False
peligro,True,False
proteger,True,False
músculo,True,False
especie,True,False
preocupación,True,False
cubierto,True,False
hoja,True,False
estómago,True,False
marrón,True,False
comentario,True,False
práctica,True,False
recurrir,False,False
retorcido,False,False
incómodo,True,False
lejano,True,False
menor,True,False
discutir,True,False
susurro,False,False
cena,True,False
viento,True,False
control,True,False
suspiro,True,False
apretar,False,False
exclamar,True,False
interrumpir,True,False
contenido,False,False
acudir,False,False
columna,True,False
valor,True,False
rodilla,True,False
curiosidad,True,False
agradable,True,False
disculpa,True,False
rango,False,False
visita,True,False
bebida,True,False
permitir él,True,False
librar,True,False
paliza,False,False
levantar él,True,False
pertenecer,True,False
incómoda,True,False
capataz,False,False
invitado,True,False
inmóvil,True,False
mal,True,False
feliz,True,False
comprobar,False,False
abrir él,True,False
referir,True,False
imitar,True,False
daño,True,False
opción,True,False
taburete,False,False
firme,False,False
especial,True,False
impresionante,False,False
resonar,False,False
personal,True,False
reloj,True,False
ensangrentado,False,False
atender,True,False
necesidad,True,False
mando,False,False
intención,True,False
ira,False,False
fracaso,True,False
dirigir él,False,False
